date,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps_in_rs,dividend_payout_percent,company_name
Mar 2013,27004,22784,4220,16,1123,26,251,5066,24.0,3839,17.71,104.0,HINDUNILVR
Mar 2014,29234,24475,4759,16,792,41,296,5215,24.0,3956,18.24,71.0,HINDUNILVR
Mar 2015,31972,26560,5412,17,1247,18,322,6320,31.0,4376,20.17,74.0,HINDUNILVR
Mar 2016,32186,26276,5910,18,486,17,353,6026,31.0,4151,19.18,83.0,HINDUNILVR
Mar 2017,33162,26834,6328,19,606,35,432,6467,31.0,4490,20.68,82.0,HINDUNILVR
Mar 2018,35545,28046,7499,21,353,26,520,7306,28.0,5227,24.09,83.0,HINDUNILVR
Mar 2019,39310,30430,8880,23,322,33,565,8604,30.0,6060,27.97,78.0,HINDUNILVR
Mar 2020,39783,29930,9853,25,432,118,1002,9165,26.0,6756,31.17,80.0,HINDUNILVR
Mar 2021,47028,35402,11626,25,170,117,1074,10605,25.0,7999,34.03,119.0,HINDUNILVR
Mar 2022,52446,39589,12857,25,219,106,1091,11879,25.0,8892,37.79,90.0,HINDUNILVR
Mar 2023,60580,46433,14147,23,448,114,1137,13344,24.0,10143,43.07,91.0,HINDUNILVR
Mar 2024,61896,47237,14659,24,817,334,1216,13926,26.0,10282,43.74,96.0,HINDUNILVR
TTM,62107,47370,14737,24,880,377,1259,13981,0.0,10338,43.98,0.0,HINDUNILVR
Mar 2013,31618,20398,11221,35,852,108,859,11106,31.0,7704,6.42,55.0,ITC
Mar 2014,35306,22227,13080,37,966,29,965,13052,31.0,9001,7.45,54.0,ITC
Mar 2015,38817,24566,14252,37,1229,91,1028,14362,32.0,9779,8.04,52.0,ITC
Mar 2016,39192,24661,14531,37,1483,78,1077,14859,36.0,9501,7.74,73.0,ITC
Mar 2017,42768,27298,15470,36,1759,49,1153,16026,35.0,10477,8.47,56.0,ITC
Mar 2018,43449,26928,16521,38,2240,115,1236,17409,34.0,11493,9.24,56.0,ITC
Mar 2019,48340,29802,18537,38,2080,71,1397,19150,33.0,12836,10.27,56.0,ITC
Mar 2020,49388,30044,19344,39,2417,81,1645,20035,22.0,15593,12.45,82.0,ITC
Mar 2021,49257,32193,17065,35,2577,58,1646,17938,25.0,13383,10.69,101.0,ITC
Mar 2022,60645,40021,20623,34,1910,60,1732,20740,25.0,15503,12.37,93.0,ITC
Mar 2023,70919,45215,25704,36,2098,78,1809,25915,25.0,19477,15.44,100.0,ITC
Mar 2024,70866,44634,26233,37,2804,80,1816,27140,24.0,20751,16.39,84.0,ITC
TTM,72174,45841,26333,36,2690,47,1872,27103,0.0,20739,16.39,0.0,ITC
Mar 2013,1107,1028,79,7,13,68,22,1,-1199.0,16,0.61,205.0,JYOTHYLAB
Mar 2014,1324,1170,154,12,8,55,24,82,1.0,81,2.25,67.0,JYOTHYLAB
Mar 2015,1515,1350,164,11,6,14,33,125,3.0,121,3.35,60.0,JYOTHYLAB
Mar 2016,1593,1370,223,14,13,62,31,143,48.0,74,2.16,116.0,JYOTHYLAB
Mar 2017,1683,1428,255,15,10,56,30,179,-14.0,204,5.73,52.0,JYOTHYLAB
Mar 2018,1672,1415,257,15,62,48,31,241,26.0,179,5.12,5.0,JYOTHYLAB
Mar 2019,1814,1532,282,16,27,35,31,243,19.0,198,5.59,54.0,JYOTHYLAB
Mar 2020,1711,1460,251,15,16,33,53,182,10.0,163,4.64,65.0,JYOTHYLAB
Mar 2021,1909,1594,315,16,-5,19,56,235,19.0,191,5.43,74.0,JYOTHYLAB
Mar 2022,2196,1948,248,11,19,12,58,197,19.0,159,4.41,57.0,JYOTHYLAB
