date,sales,expenses,operating_profit,opm_percent,other_income,interest,depreciation,profit_before_tax,tax_percent,net_profit,eps_in_rs,dividend_payout_percent,company_name,net_profit_margin,operating_profit_margin,tax_amount,dividend_yield,interest_coverage_ratio,yoy_sales_growth,yoy_net_profit_growth
Mar 2013,6185.0,5765.0,421.0,7.0,52.0,41.0,73.0,358.0,27.0,260.0,10.85,39.0,BRITANNIA,4.2,6.81,96.66,4.23,10.27,,
Mar 2014,6913.0,6286.0,627.0,9.0,34.0,8.0,83.0,569.0,30.0,395.0,16.48,36.0,BRITANNIA,5.71,9.07,170.7,5.93,78.38,11.77,51.92
Mar 2015,7858.0,6988.0,870.0,11.0,228.0,4.0,144.0,950.0,28.0,689.0,28.71,28.0,BRITANNIA,8.77,11.07,266.0,8.04,217.5,13.67,74.43
Mar 2016,8397.0,7174.0,1224.0,15.0,115.0,5.0,113.0,1220.0,32.0,825.0,34.36,29.0,BRITANNIA,9.82,14.58,390.4,9.96,244.8,6.86,19.74
Mar 2017,9054.0,7776.0,1278.0,14.0,151.0,5.0,119.0,1304.0,32.0,885.0,36.85,30.0,BRITANNIA,9.77,14.12,417.28,11.06,255.6,7.82,7.27
Mar 2018,9914.0,8413.0,1501.0,15.0,166.0,8.0,142.0,1518.0,34.0,1004.0,41.83,30.0,BRITANNIA,10.13,15.14,516.12,12.55,187.63,9.5,13.45
Mar 2019,11055.0,9322.0,1732.0,16.0,206.0,9.0,162.0,1768.0,35.0,1155.0,48.23,31.0,BRITANNIA,10.45,15.67,618.8,14.95,192.44,11.51,15.04
Mar 2020,11600.0,9756.0,1843.0,16.0,263.0,77.0,185.0,1844.0,24.0,1394.0,58.33,60.0,BRITANNIA,12.02,15.89,442.56,35.0,23.94,4.93,20.69
Mar 2021,13136.0,10627.0,2509.0,19.0,313.0,111.0,198.0,2514.0,26.0,1851.0,77.38,204.0,BRITANNIA,14.09,19.1,653.64,157.86,22.6,13.24,32.78
Mar 2022,14136.0,11935.0,2201.0,16.0,222.0,144.0,201.0,2078.0,27.0,1516.0,63.31,89.0,BRITANNIA,10.72,15.57,561.06,56.35,15.28,7.61,-18.1
